7.336361324748367770e+04,7.000000000000000000e+00,1.100000000000000000e+01,1.300000000000000000e+01,3.000000000000000000e+00
1.266237879320447100e+05,7.000000000000000000e+00,1.100000000000000000e+01,1.400000000000000000e+01,3.000000000000000000e+00
5.156416637081562658e+04,7.000000000000000000e+00,1.100000000000000000e+01,1.600000000000000000e+01,3.000000000000000000e+00
4.626795865480587236e+04,7.000000000000000000e+00,1.100000000000000000e+01,1.700000000000000000e+01,3.000000000000000000e+00
3.973990890865118126e+04,7.000000000000000000e+00,1.100000000000000000e+01,1.800000000000000000e+01,3.000000000000000000e+00
2.877859324507274505e+04,7.000000000000000000e+00,1.100000000000000000e+01,1.900000000000000000e+01,3.000000000000000000e+00
1.992102094998289249e+04,7.000000000000000000e+00,1.100000000000000000e+01,2.000000000000000000e+01,3.000000000000000000e+00
1.381743240359999982e+04,7.000000000000000000e+00,1.100000000000000000e+01,2.100000000000000000e+01,3.000000000000000000e+00
5.729259490969999206e+03,7.000000000000000000e+00,1.100000000000000000e+01,2.300000000000000000e+01,3.000000000000000000e+00
1.236636447909999879e+04,7.000000000000000000e+00,1.200000000000000000e+01,0.000000000000000000e+00,4.000000000000000000e+00
4.532076358799999980e+03,7.000000000000000000e+00,1.200000000000000000e+01,1.000000000000000000e+00,4.000000000000000000e+00
4.532141685489999873e+03,7.000000000000000000e+00,1.200000000000000000e+01,4.000000000000000000e+00,4.000000000000000000e+00
4.745480537409999670e+03,7.000000000000000000e+00,1.200000000000000000e+01,5.000000000000000000e+00,4.000000000000000000e+00
1.892054429510267801e+04,7.000000000000000000e+00,1.200000000000000000e+01,6.000000000000000000e+00,4.000000000000000000e+00
4.805965787896303664e+04,7.000000000000000000e+00,1.200000000000000000e+01,7.000000000000000000e+00,4.000000000000000000e+00
4.859071011994847504e+04,7.000000000000000000e+00,1.200000000000000000e+01,8.000000000000000000e+00,4.000000000000000000e+00
8.956638618668528215e+04,7.000000000000000000e+00,1.200000000000000000e+01,9.000000000000000000e+00,4.000000000000000000e+00
6.417049525979750615e+04,7.000000000000000000e+00,1.200000000000000000e+01,1.000000000000000000e+01,4.000000000000000000e+00
